                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.70832,                 3.3286,                0.27858,                0.46005,                 1.0174,                0.97391,                 0.9802,                0.99087,                0.89677,                0.84739,                0.82633,                0.83639,                0.67992,                  0.553,                 2.0594,                0.07568,                0.31023,                0.85028,               0.007129,               0.007129,               0.007129
                     60,                0.70956,                 3.3157,                0.27822,                0.46125,                 1.0192,                0.97441,                0.98037,                0.99087,                0.89678,                0.84793,                0.82697,                0.83746,                0.68024,                0.55262,                 2.0562,                 0.0755,                0.30975,                0.85022,              0.0070795,              0.0070795,              0.0070795
                     61,                0.71023,                 3.3212,                0.27871,                0.45987,                 1.0175,                 0.9743,                 0.9804,                0.99085,                0.89695,                0.85056,                0.82662,                0.83943,                0.68095,                0.55205,                 2.0497,                0.07544,                0.30958,                0.84984,                0.00703,                0.00703,                0.00703
                     62,                0.70552,                 3.2803,                 0.2785,                0.45823,                 1.0169,                0.97418,                0.98091,                0.99086,                 0.8967,                0.85171,                0.82752,                0.83982,                0.68106,                0.55188,                 2.0456,                0.07531,                0.30956,                0.84969,              0.0069805,              0.0069805,              0.0069805
                     63,                0.70296,                 3.2861,                0.27767,                0.45721,                 1.0153,                 0.9749,                0.98028,                0.99089,                0.89709,                0.85269,                0.82902,                0.84086,                0.68136,                0.55125,                 2.0401,                0.07518,                0.30945,                0.84948,               0.006931,               0.006931,               0.006931
                     64,                0.70895,                 3.2824,                0.27846,                0.45717,                 1.0185,                0.97333,                0.98079,                0.99091,                 0.8972,                0.85405,                 0.8311,                0.84245,                0.68193,                0.55091,                 2.0306,                0.07506,                0.30936,                 0.8494,              0.0068815,              0.0068815,              0.0068815
                     65,                0.70157,                 3.2397,                0.27595,                0.45445,                 1.0162,                0.97407,                0.98066,                0.99088,                0.89742,                0.85395,                 0.8321,                0.84291,                0.68234,                0.55079,                  2.025,                0.07491,                0.30926,                0.84942,               0.006832,               0.006832,               0.006832
                     66,                0.70284,                 3.2617,                0.27472,                0.45783,                 1.0153,                0.97475,                0.98053,                 0.9909,                0.89751,                0.85459,                0.83145,                0.84271,                0.68249,                0.55089,                  2.025,                0.07476,                0.30908,                0.84954,              0.0067825,              0.0067825,              0.0067825
                     67,                0.70595,                 3.2683,                0.27584,                0.45718,                 1.0161,                0.97474,                0.97989,                0.99091,                0.89751,                0.85401,                0.83084,                0.84238,                0.68319,                 0.5507,                 2.0264,                0.07468,                0.30877,                0.84929,               0.006733,               0.006733,               0.006733
                     68,                0.69783,                 3.2539,                0.27597,                0.45321,                 1.0148,                 0.9749,                0.97987,                0.99093,                0.89733,                 0.8544,                0.83044,                0.84283,                0.68372,                 0.5505,                 2.0238,                 0.0746,                0.30856,                0.84928,              0.0066835,              0.0066835,              0.0066835
                     69,                0.70102,                 3.2517,                 0.2779,                0.45409,                 1.0145,                0.97453,                0.97993,                0.99092,                0.89755,                0.85311,                0.83184,                0.84281,                 0.6838,                0.55019,                 2.0264,                0.07449,                0.30849,                0.84916,               0.006634,               0.006634,               0.006634
